10000	2332	1	81
10000	2852	1	52
10001	2903	1	82
10002	1353	1	27
10002	2699	1	24
10004	3676	1	30
10005	3079	1	21
10007	1084	1	6
10007	3095	1	65
10008	1986	1	6
10008	2693	1	34
10009	1586	1	48
10009	3638	1	9
10009	3926	1	63
10011	2720	1	71
10012	3152	1	67
10013	3052	1	8
10016	1829	1	3
10016	2444	1	15
10024	1765	1	81
10024	2491	1	95
10026	2113	1	64
10026	3001	1	52
10027	3118	1	64
10028	2470	1	72
10030	2189	1	79
10031	1717	1	11
10031	3076	1	68
10032	2190	1	19
10032	2649	1	22
10032	3077	1	13
10034	3805	1	31
10036	2777	1	65
10036	3949	1	76
10038	1841	1	35
10039	1544	1	15
10039	3346	1	54
10043	1146	1	81
10044	1074	1	30
10045	1312	1	31
10045	2016	1	19
10046	3177	1	44
10048	3794	1	51
10050	1942	1	33
10052	1266	1	21
10054	1388	1	38
10054	2247	1	39
10054	2259	1	25
10055	3275	1	86
10058	1480	1	83
10060	2797	1	3
10062	1388	1	6
10062	1485	1	16
10062	1694	1	26
10064	1615	1	95
10065	2580	1	24
10066	2385	1	4
10067	3653	1	67
10067	3929	1	17
10068	2770	1	45
10070	1194	1	3
10070	1542	1	66
10073	1099	1	86
10073	3483	1	18
10074	3545	1	23
10078	1390	1	4
10078	2461	1	41
10078	2669	1	53
10078	3565	1	66
10079	2642	1	21
10080	1724	1	92
10081	3369	1	41
10081	3788	1	82
10085	1286	1	62
10086	1109	1	5
10086	2788	1	11
10089	2174	1	31
10089	3347	1	29
10090	2391	1	48
10091	2341	1	75
10092	3902	1	46
10092	3954	1	92
10096	1098	1	70
10096	3610	1	44
10097	2673	1	65
10097	3024	1	78
10099	2608	1	86
10101	3767	1	90
10104	1172	1	75
10104	1317	1	59
10105	1291	1	32
10105	2519	1	30
10107	1662	1	19
10107	2268	1	61
10110	2609	1	50
10112	2594	1	17
10113	1007	1	27
10115	2323	1	89
10115	3007	1	94
10116	2066	1	15
10116	2148	1	79
10116	2496	1	50
10117	1793	1	73
