10000	2332	1	81
10001	2903	1	82
10002	1353	1	27
10004	3676	1	30
10005	3079	1	21
10007	3095	1	65
10008	2693	1	34
10009	3926	1	63
10011	2720	1	71
10012	3152	1	67
10013	3052	1	8
10016	2444	1	15
10024	2491	1	95
10026	2113	1	64
10027	3118	1	64
10028	2470	1	72
10030	2189	1	79
10031	3076	1	68
10032	2649	1	22
10034	3805	1	31
10036	3949	1	76
10038	1841	1	35
10039	3346	1	54
10043	1146	1	81
10044	1074	1	30
10045	1312	1	31
10046	3177	1	44
10048	3794	1	51
10050	1942	1	33
10052	1266	1	21
10054	2247	1	39
10055	3275	1	86
10058	1480	1	83
10060	2797	1	3
10062	1694	1	26
10064	1615	1	95
10065	2580	1	24
10066	2385	1	4
10067	3653	1	67
10068	2770	1	45
10070	1542	1	66
10073	1099	1	86
10074	3545	1	23
10078	3565	1	66
10079	2642	1	21
10080	1724	1	92
10081	3788	1	82
10085	1286	1	62
10086	2788	1	11
10089	2174	1	31
10090	2391	1	48
10091	2341	1	75
10092	3954	1	92
10096	1098	1	70
10097	3024	1	78
10099	2608	1	86
10101	3767	1	90
10104	1172	1	75
10105	1291	1	32
10107	2268	1	61
10110	2609	1	50
10112	2594	1	17
10113	1007	1	27
10115	3007	1	94
10116	2148	1	79
10117	1793	1	73
10118	1962	1	39
10120	3641	1	88
10122	1222	1	5
10123	1977	1	57
10125	1488	1	10
10126	2650	1	77
10128	1334	1	79
10130	3394	1	66
10132	3998	1	92
10134	3662	1	75
10135	3034	1	47
10136	1340	1	45
10137	2228	1	12
10141	2657	1	12
10143	2478	1	14
10144	1092	1	31
10145	2861	1	63
10146	2932	1	35
10150	1426	1	74
10151	1402	1	76
10153	2270	1	44
10162	3554	1	71
10163	1104	1	7
10165	2776	1	60
10167	1681	1	27
10169	3982	1	45
10171	2245	1	46
10173	2064	1	80
10175	2748	1	55
10177	3707	1	37
10178	3091	1	40
10182	3066	1	59
10184	3358	1	91
10188	1338	1	68
10189	2136	1	93
10190	3824	1	47
10192	2182	1	57
10193	2379	1	87
10194	3163	1	5
10195	3196	1	31
10196	3489	1	94
10197	3184	1	26
10201	2326	1	62
10203	2565	1	81
10204	2421	1	13
10205	1477	1	70
10210	2912	1	77
10212	3552	1	33
10213	2789	1	41
10215	2504	1	3
10216	1712	1	95
10217	1039	1	51
10219	2925	1	78
10220	2309	1	33
10221	2998	1	57
10223	1406	1	84
10224	2958	1	41
10226	2799	1	2
10227	1746	1	83
10230	1232	1	86
10231	3307	1	15
10233	3546	1	79
10234	3308	1	25
10238	3018	1	78
10240	1830	1	37
10241	3801	1	35
